order_id,customer_id,province,amount,status,order_date,updated_at
1,C092,Binh Duong,238000.0,Paid,2024-09-16,2024-09-16 06:00:00
2,C055,Hai Phong,785000.0,Paid,2024-03-21,2024-03-21 20:00:00
3,C071,Nghe An,728000.0,paid,2024-02-23,2024-02-25 21:00:00
4,C902,Bac Ninh,281000.0,PaId,2024-03-02,2024-03-02 05:00:00
5,C027,Can Tho,355000.0,PENDING,2024-09-28,2024-09-28 19:00:00
6,C031,Da Nang,185000.0,cancelled,2024-07-01,2024-07-02 18:00:00
7,C053,Can Tho,79000.0,paid,2024-07-28,2024-07-30 12:00:00
8,C059,Binh Duong,545000.0,PAID,2024-04-01,2024-04-03 03:00:00
9,C009,Hai Phong,754000.0,PaId,2024-09-11,2024-09-11 14:00:00
10,C034,Da Nang,497000.0,Paid,2024-01-04,2024-01-05 20:00:00
11,C041,Nghe An,193000.0,paid,2024-07-19,2024-07-19 05:00:00
12,C001,Khanh Hoa,373000.0,Cancelled,2024-04-12,2024-04-13 18:00:00
13,C085,HCM,abc,PENDING,2024-09-10,2024-09-11 17:00:00
14,C038,Khanh Hoa,611000.0,PaId,2024-07-22,2024-07-22 22:00:00
15,C039,Nghe An,208000.0,paid,2024-05-10,2024-05-11 17:00:00
16,C057,Can Tho,437000.0,PAID,2024-02-10,2024-02-11 18:00:00
17,C097,Can Tho,68000.0,pending,2024-04-05,2024-04-06 07:00:00
18,C079,HCM,350000.0,PAID,2024-07-16,2024-07-16 18:00:00
19,C001,HCM,768000.0,pending,2024-03-26,2024-03-28 18:00:00
20,C072,Can Tho,651000.0,cancelled,2024-08-05,2024-08-07 19:00:00
21,C077,Binh Duong,673000.0,CANCELLED,2024-09-14,2024-09-16 22:00:00
22,C021,Hue,633000.0,PAID,2024-05-25,2024-05-27 14:00:00
23,C036,Hue,302000.0,Paid,2024-04-09,2024-04-11 21:00:00
24,C020,Can Tho,361000.0,PAID,2024-04-03,2024-04-04 18:00:00
25,C054,Hanoi,488000.0,PaId,2024-07-25,2024-07-25 02:00:00
26,C098,Bac Ninh,615000.0,paid,2024-06-10,2024-06-12 05:00:00
27,C095,Khanh Hoa,255000.0,pending,2024-08-08,2024-08-10 14:00:00
28,C902,Nghe An,451000.0,PENDING,2024-03-20,2024-03-22 02:00:00
29,C085,Hanoi,396000.0,PaId,2024-03-28,2024-03-28 06:00:00
30,C042,Can Tho,614000.0,Paid,2024-07-09,2024-07-11 05:00:00
31,C011,Hue,538000.0,paid,2024-06-08,2024-06-08 05:00:00
32,C032,Can Tho,145000.0,Cancelled,2024-03-08,2024-03-08 14:00:00
33,C028,Hue,505000.0,PENDING,2024-03-20,2024-03-20 14:00:00
34,C021,Hai Phong,558000.0,paid,2024-05-19,2024-05-21 00:00:00
35,C092,Can Tho,629000.0,PAID,2024-02-23,2024-02-23 15:00:00
36,C073,Hanoi,429000.0,PaId,2024-06-03,2024-06-04 19:00:00
37,C902,Hue,165000.0,Paid,2024-08-23,2024-08-23 22:00:00
38,C084,Hai Phong,669000.0,PaId,not_a_date,2024-08-15 10:00:00
39,C032,HCM,399000.0,PaId,2024-04-25,2024-04-27 00:00:00
40,C064,Binh Duong,244000.0,PAID,2024-06-26,2024-06-27 11:00:00
41,C090,Hai Phong,590000.0,PAID,2024-02-08,2024-02-10 14:00:00
42,C031,Hue,0,PaId,2024-08-26,2024-08-27 13:00:00
43,C089,Can Tho,448000.0,Paid,2024-08-18,2024-08-20 06:00:00
44,C071,Binh Duong,239000.0,PaId,2024-05-10,2024-05-10 15:00:00
45,C041,HCM,212000.0,Pending,2024-03-07,2024-03-09 13:00:00
46,C076,Khanh Hoa,221000.0,paid,2024-04-10,2024-04-10 22:00:00
47,C091,Khanh Hoa,269000.0,paid,2024-01-18,2024-01-18 16:00:00
48,C097,Hue,409000.0,paid,2024-05-16,2024-05-17 19:00:00
49,C007,Hai Phong,-50000,CANCELLED,2024-02-27,2024-02-29 14:00:00
50,C081,Hanoi,139000.0,Paid,2024-02-08,2024-02-10 05:00:00
51,C080,Can Tho,273000.0,PENDING,2024-08-15,2024-08-17 06:00:00
52,C080,Hanoi,208000.0,paid,2024-04-21,2024-04-21 10:00:00
53,C023,Khanh Hoa,567000.0,paid,2024-07-15,2024-07-17 12:00:00
54,C030,Hai Phong,566000.0,Pending,2024-08-03,2024-08-04 09:00:00
55,C081,Bac Ninh,458000.0,pending,2024-07-04,2024-07-04 19:00:00
56,C019,HCM,,Paid,2024-05-15,2024-05-16 14:00:00
57,C035,Khanh Hoa,80000.0,PaId,2024-02-20,2024-02-22 07:00:00
58,C078,Hai Phong,554000.0,PAID,2024-01-25,2024-01-26 10:00:00
59,C098,Da Nang,798000.0,PaId,2024/1/9,2024-05-08 07:00:00
60,C063,HCM,553000.0,PaId,2024-06-11,2024-06-11 20:00:00
61,C089,Hue,391000.0,PaId,2024-09-02,2024-09-03 16:00:00
62,C015,Nghe An,360000.0,cancelled,2024-09-15,2024-09-16 00:00:00
63,C080,Hue,462000.0,paid,2024-04-09,2024-04-10 12:00:00
64,C090,Hue,463000.0,PAID,2024-03-10,2024-03-12 22:00:00
65,C029,HCM,,paid,2024-03-16,2024-03-17 13:00:00
66,C035,Nghe An,463000.0,CANCELLED,2024-04-15,2024-04-17 01:00:00
67,C077,Khanh Hoa,630000.0,pending,2024-02-09,2024-02-11 05:00:00
68,C065,Hai Phong,,CANCELLED,2024-05-27,2024-05-29 14:00:00
69,C058,Khanh Hoa,458000.0,Paid,2024-09-25,2024-09-27 10:00:00
70,C025,Can Tho,289000.0,PAID,2024-07-02,2024-07-04 12:00:00
71,C049,Nghe An,774000.0,Cancelled,2024-03-16,2024-03-16 16:00:00
72,C076,Binh Duong,733000.0,CANCELLED,2024-02-17,2024-02-17 01:00:00
73,C053,Da Nang,570000.0,Paid,2024-06-20,2024-06-20 10:00:00
74,C087,Khanh Hoa,456000.0,Paid,2024-08-28,2024-08-28 08:00:00
75,C088,Hai Phong,784000.0,Cancelled,2024-02-14,2024-02-14 12:00:00
76,C089,Hai Phong,92000.0,cancelled,2024-06-26,2024-06-27 21:00:00
77,C019,Can Tho,abc,PAID,2024-03-06,2024-03-08 00:00:00
78,C031,Hue,0,cancelled,2024-04-15,2024-04-17 10:00:00
79,C002,Hue,105000.0,Cancelled,2024-09-06,2024-09-07 20:00:00
80,C039,Nghe An,800000.0,PENDING,2024-05-07,2024-05-09 13:00:00
81,C049,Bac Ninh,783000.0,Paid,2024-05-01,2024-05-03 02:00:00
82,C073,Hanoi,728000.0,Cancelled,2024-08-27,2024-08-28 12:00:00
83,C030,Bac Ninh,238000.0,cancelled,2024-04-20,2024-04-20 17:00:00
84,C081,Hanoi,324000.0,PaId,2024-01-19,2024-01-19 16:00:00
85,C038,Binh Duong,640000.0,pending,2024-04-05,2024-04-06 22:00:00
86,C035,Da Nang,703000.0,PaId,2024-05-24,2024-05-24 14:00:00
87,C010,Da Nang,653000.0,pending,2024-07-28,2024-07-29 22:00:00
88,C051,Hanoi,555000.0,paid,2024-08-12,2024-08-13 09:00:00
89,C082,Binh Duong,515000.0,PAID,2024-08-01,2024-08-03 23:00:00
90,C079,Can Tho,356000.0,PaId,2024-05-21,2024-05-21 17:00:00
91,C901,Hai Phong,715000.0,cancelled,2024-02-08,2024-02-08 17:00:00
92,C048,Khanh Hoa,abc,PAID,2024-07-21,2024-07-23 14:00:00
93,C036,Hanoi,763000.0,pending,2024-08-15,2024-08-16 22:00:00
94,C088,Binh Duong,257000.0,Paid,2024-01-13,2024-01-13 15:00:00
95,C059,HCM,640000.0,Pending,2024-01-02,2024-01-03 07:00:00
96,C073,Can Tho,702000.0,PAID,2024-04-27,2024-04-28 18:00:00
97,C077,Hanoi,238000.0,PAID,2024-03-18,2024-03-18 22:00:00
98,C004,Da Nang,181000.0,PAID,2024-06-01,2024-06-01 06:00:00
99,C054,Khanh Hoa,634000.0,paid,2024-08-15,2024-08-17 17:00:00
100,C058,Khanh Hoa,394000.0,paid,2024-09-10,2024-09-10 03:00:00
101,C062,Nghe An,732000.0,paid,2024-08-23,2024-08-23 09:00:00
102,C042,Bac Ninh,525000.0,PAID,not_a_date,2024-05-22 22:00:00
48,C097,Hue,409000.0,paid,2024-05-16,2024-06-15 10:00:00
20,C072,Can Tho,651000.0,paid,2024-08-05,2024-06-17 07:00:00
88,C051,Hanoi,555000.0,PAID,2024-08-12,2024-06-16 23:00:00
61,C089,Hue,391000.0,paid,2024-09-02,2024-06-17 23:00:00
9,C009,Hai Phong,754000.0,Paid,2024-09-11,2024-06-17 23:00:00
12,C001,Khanh Hoa,373000.0,PaId,2024-04-12,2024-06-15 15:00:00
103,C901,Da Nang,620000,Paid,2024-01-07,2024-01-07 10:00:00
104,C013,HCM,,PENDING,2024-01-10,2024-01-10 09:00:00
105,C020,Hanoi,300000,Paid,31/01/2024,2024-01-31 08:00:00
