province,total_orders,total_customers,total_amount,avg_amount,success_orders,failed_orders
Bac Ninh,4,4,2094000.0,523500.0,2,1
Binh Duong,9,9,4084000.0,453777.77777777775,6,2
Can Tho,14,14,5407000.0,386214.28571428574,9,2
Da Nang,6,6,2789000.0,464833.3333333333,4,1
HCM,6,6,2922000.0,487000.0,3,0
Hai Phong,8,8,4683000.0,585375.0,5,2
Hanoi,10,8,4268000.0,426800.0,8,1
Hue,9,9,3808000.0,423111.1111111111,7,1
Khanh Hoa,12,11,4948000.0,412333.3333333333,10,0
Nghe An,8,7,4258000.0,532250.0,4,3
